LinkID,Time,Speed
5284,1242,31.2
5284,1293,31.2
5284,1345,31.2
5284,1396,31.2
5285,45,10.08
5285,369,9.1276
5285,406,9.1276
5285,442,8.6507
5285,477,8.6507
5285,513,8.6507
5285,550,6.9831
5285,588,6.9831
5285,626,5.1066
5285,664,7.2
5285,704,7.2
5285,722,10.35
5285,745,7.5765
5285,788,7.5765
5285,839,7.5765
5285,886,7.3367
5285,929,7.3367
5285,978,7.3367
5285,1024,6.3
5285,1068,6.3
5285,1110,6.3
5285,1151,6.3
5285,1194,9.1276
5285,1242,9.1276
5285,1293,9.1276
5285,1345,9.1276
5285,1396,9.1276
5358,45,13.3125
5358,369,13.5957
5358,406,13.5957
5358,442,15.0353
5358,477,15.0353
5358,513,15.0353
5358,550,11.8333
5358,588,5.8728
5358,626,5.9274
5358,664,10.7395
5358,704,5.9274
5358,722,5.664
5358,745,4.9395
5358,788,4.9395
5358,839,4.9395
5358,886,4.5514
5358,929,4.5514
5358,978,4.5514
5358,1024,7.5621
5358,1068,7.9379
5358,1110,7.3241
5358,1151,7.0608
5358,1194,5.664
5358,1242,5.664
5358,1293,5.664
5358,1345,4.9205
5358,1396,5.664
5359,45,22.471
5359,369,24.4421
5359,406,24.4421
5359,442,20.1913
5359,477,20.1913
5359,513,20.1913
5359,550,19.6225
5359,588,19.6225
5359,626,17.8615
5359,664,17.8615
5359,704,17.8615
5359,722,20.794
5359,745,16.7855
5359,788,16.7855
5359,839,16.7855
5359,886,11.7076
5359,929,5.7809
5359,978,9
5359,1024,11.1429
5359,1068,11.514
5359,1110,11.514
5359,1151,10.7176
5359,1194,20.794
5359,1242,20.794
5359,1293,20.794
5359,1345,20.794
5359,1396,20.794
5414,45,44.1
5414,369,36.1286
5414,406,36.1286
5414,442,12.8051
5414,477,12.8051
5414,513,12.8051
5414,550,10.7617
5414,588,10.7617
5414,626,10.7617
5414,664,10.7617
5414,704,10.7617
5414,722,18.3927
5414,745,16.3161
5414,788,16.3161
5414,839,16.3161
5414,886,5.6514
